score_OVERALL UNIVERSITY RATING,score_Job Prospects,score_Course and Lecturers,score_Uni Facilities,score_Student Support,score_Do you think your time at university this year has been value for money?,score_Students' Union,score_Accommodation,score_Local life,score_Societies and Sports,name,date,degree,reviews,reviews_lem,reviews_lem_short,University
4.0,2.0,3.0,3.0,,,4.0,4.0,5.0,2.0,Student Reviewer,04 Apr 14,International Business with Japanese MA (Hons)," Uni experience is cool, Nt as great as college was but pretty good. I like the town but there is quite a lot to do so I don't often get the opportunity to go out. I'd say the best thing to do before you decide coming to uni is picking a course you are really interested in and the best place to do it at. ",uni experience cool nt great college pretty good town quite lot n't often get opportunity go say best thing decide come uni pick course really interested best place,uni experience cool nt great college good town lot opportunity best thing course interested best place,edinburgh
4.0,4.0,3.0,3.0,,,4.0,4.0,4.0,4.0,Student Reviewer,04 Apr 14,," Easy to make friends around the student halls. Very social place, however Edinburgh has an averagly cold weather. The city is astonishing on the other hand, with great arhitecture. Great place to be, as the university offers a wide opportunities with great job perspect. Get good grades and keep them up. ",easy make friend student hall social place however edinburgh averagly cold weather city astonish hand great arhitecture great place university offer wide opportunity great job perspect get good grade keep,easy friend student hall social place edinburgh cold weather city hand great arhitecture great place university wide opportunity great job perspect good grade,edinburgh
5.0,3.0,5.0,5.0,,,5.0,4.0,5.0,5.0,Student Reviewer,04 Apr 14,Philosophy and English Literature MA (Hons), University generally is very good and I really enjoy the fact that the city life is very good and the campus of the uni is located in the heart of the city making it very easy to commute. Also I have made a lot of friends and the lecures are very interesting. ,university generally good really enjoy fact city life good campus uni locate heart city make easy commute also make lot friend lecures interesting,university good fact city life good campus uni heart city easy lot friend lecures interesting,edinburgh
4.0,5.0,3.0,5.0,,,3.0,5.0,4.0,5.0,Student Reviewer,04 Apr 14,Contemporary Art Practice MFA," By a bus pass, you will need it around Edimburgh! Edinburgh is lovely specially when the sun is up! It is the best place to study in Uni. Great choice, Nbody regrets it. Course is very interesting, great job prospects. ",bus pas need around edimburgh edinburgh lovely specially sun best place study uni great choice nbody regret course interesting great job prospect,bus pas edimburgh edinburgh sun best place uni great choice nbody course interesting great job prospect,edinburgh
4.0,4.0,4.0,5.0,,,4.0,4.0,5.0,4.0,Student Reviewer,04 Apr 14,," University is awsome, so many parties its unbelievable. I think people should deffinetly try it out. First year is deffinetly great, my uni work has Nt been interfering with my life and I love it. The only difficult part is exam period.. Fingers crossed for that one!",university awsome many party unbelievable think people deffinetly try first year deffinetly great uni work nt interfere life love difficult part exam period .. finger cross,university awsome many party unbelievable people first year great uni work nt life difficult part exam period .. finger,edinburgh
4.0,3.0,4.0,4.0,,,4.0,4.0,5.0,4.0,Student Reviewer,04 Apr 14,Veterinary Medicine BVMS," Great place for everyone. Medicine is challanging and need loyts of own time research. Many clubs and societies, would recommend every student to stay in the student halls, as most of the activities are going on thrughout the whole year in Pollock Halls. very good Scottish University, with great history. ",great place everyone medicine challanging loyts time research many club society recommend student stay student hall activity go whole year pollock hall good scottish university great history,great place everyone medicine time research many club society student student hall activity whole year pollock hall good scottish university great history,edinburgh
3.0,3.0,3.0,4.0,,,3.0,3.0,3.0,4.0,Student Reviewer,04 Apr 14,," Interesting double major. Good, fair teachers. Lectures are fairly interesting. Overall 3, as accomodation and student union is poor. Many international people around the university. Opportunities to go study abroad are great. ",interest double major good fair teacher lecture fairly interesting overall accomodation student union poor many international people university opportunity go study abroad great,double major good fair teacher lecture interesting overall accomodation student union poor many international people university opportunity study great,edinburgh
4.0,3.0,4.0,4.0,,,4.0,3.0,5.0,4.0,Student Reviewer,04 Apr 14,History and Politics MA (Hons), I am very keen on history so Edinburgh is te pecfect place for me with it's wonderfull architecture and historical places.I love going out with my friends and the campus is Nt far away from the centre.People should come and visit his place!,keen history edinburgh te pecfect place 's wonderfull architecture historical places.i love go friend campus nt far away centre.people come visit place,keen history edinburgh te pecfect place wonderfull architecture historical places.i friend campus nt centre.people place,edinburgh
5.0,1.0,4.0,5.0,,,5.0,5.0,4.0,4.0,Student Reviewer,04 Apr 14,Portuguese and History of Art MA (Hons)," Best University ever! The uni is so cool! I have made so many friends in just a couple of months! Best part is the city life, I have been going out all the time and it is fun every time! This is deffinetly the best uni, and the people are the coolest! Lol :P",best university ever uni cool make many friend couple month best part city life go time fun time deffinetly best uni people coolest lol p,best university uni cool many friend couple month best part city life time fun time best uni people coolest lol p,edinburgh
5.0,5.0,4.0,4.0,,,5.0,4.0,5.0,4.0,Student Reviewer,04 Apr 14,," Great jobs perpect in University of Edinburgh. I would recommend it to every student. Overall great, but lectures could be better. Societies are good, makes the uni experience fantastic. Get good grades, and keep studying in order to get a good degree.",great job perpect university edinburgh recommend student overall great lecture good society good make uni experience fantastic get good grade keep study order get good degree,great job university edinburgh student overall great lecture good society good uni experience fantastic good grade order good degree,edinburgh
5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,Student Reviewer,04 Apr 14,English Language and Literature MA (Hons)," I think it’s a really cool place to study. All of my flatmates are awsome and I don’t have any problems with anybody apart from myself regarding studying. Lectures are really helpful tho I'm finding that when I don’t skip I understand pretty much everything in class. The cafeteria is really nice aswell, I am a big fan of all you can eat :P.",think ’ really cool place study flatmate awsome ’ problem anybody apart regard study lecture really helpful tho 'm find ’ skip understand pretty much everything class cafeteria really nice aswell big fan eat p,cool place flatmate awsome ’ problem anybody lecture helpful tho ’ skip much everything class cafeteria nice aswell big fan p,edinburgh
3.0,3.0,3.0,3.0,,,1.0,1.0,3.0,3.0,Student Reviewer,04 Apr 14,," I worked pretty hard to get into my course and to be honest I was expecting a lot more. The union sucks, the accommodation is way too expensive and also sucks there are N pretty girls around.. What the hell?! Also my course is boring as hell I wasn’t expecting this.. I kind of regret coming to this uni, I liked college better..",work pretty hard get course honest expect lot union suck accommodation way expensive also suck n pretty girls around .. hell also course boring hell ’ expect .. kind regret come uni like college well ..,hard course honest lot union suck accommodation way expensive suck n hell course boring hell ’ .. kind regret uni college ..,edinburgh
3.0,5.0,3.0,4.0,,,2.0,4.0,4.0,2.0,Student Reviewer,04 Apr 14,Veterinary Medicine BVMS," Most of the letrures are useless, and needs improvement in terms of work structures. Student union is poor, and badly organized. Edinburgh is a great place for university, and really makes the uni experience unique. Good grades needed for University of Edinburgh, and it is pretty challanging to get into thrugh application. Motivation is needed, and interst towards the course is important. Great place to recommend, chose your degree carefully. Apply in time. ",letrures useless need improvement term work structure student union poor badly organize edinburgh great place university really make uni experience unique good grade need university edinburgh pretty challanging get thrugh application motivation need interst towards course important great place recommend choose degree carefully apply time,letrures useless improvement term work structure student union poor edinburgh great place university uni experience unique good grade university edinburgh pretty thrugh application motivation interst towards course important great place degree time,edinburgh
3.0,3.0,3.0,4.0,,,3.0,4.0,4.0,4.0,Student Reviewer,04 Apr 14,Neurobiology MPhil, We have a lot to study. I spent much time each day in the library and extra hours on my room studying and as I kNw from other people the study even more. The lectures are Nt very good because the don’t explain us everything but I generally like uni because i live alone without my parents and Nw i have all the responsibilities for my own life. Great Uni experience.,lot study spend much time day library extra hour room study knw people study even lecture nt good ’ explain everything generally like uni live alone parent nw responsibility life great uni experience,lot much time day library extra hour room people study lecture nt good ’ everything uni parent nw responsibility life great uni experience,edinburgh
4.0,5.0,4.0,4.0,,,5.0,5.0,3.0,5.0,Student Reviewer,04 Apr 14,Business Studies and Law MA (Hons)," Very good univeristy, I can only recommend it. The clubs and societies are vast, try to join as many as possible next to your studies. By joining societies you will belong to groups, and will make your time in Edinburgh much nicer. Studien Law here is fantastic, as Univeristy of edinburgh is one of the oldest institution teaching law. ",good univeristy recommend club society vast try join many possible next study join society belong group make time edinburgh much nicer studien law fantastic univeristy edinburgh old institution teach law,good univeristy club society vast many possible next study society group time edinburgh much nicer studien law fantastic univeristy edinburgh old institution law,edinburgh
4.0,3.0,4.0,4.0,,,2.0,4.0,4.0,2.0,Student Reviewer,04 Apr 14,French and English Language MA (Hons)," I enjoy the second semester more than the first one.My lectures are interesting and I don't have a lot of things for the course.However, I haven't joined any societies but I may try something the next year.",enjoy second semester first one.my lecture interesting n't lot thing course.however n't join society try something next year,second semester first one.my lecture interesting lot thing course.however society something next year,edinburgh
5.0,4.0,5.0,5.0,,,5.0,5.0,5.0,5.0,Student Reviewer,04 Apr 14,," I am very happy with the course I chose for my University studies. I highly recomened University of Edinburgh to everyone, as it is a top university. Lectures are very structured and interesting, and well cooped with the seminars. The city is charming, and full of students. Student hall is very nice, and the food provided to the students are very hihg quality. Excelent quality of the Uni in every aspect. ",happy course choose university study highly recomened university edinburgh everyone top university lecture structured interesting well cooped seminar city charm full student student hall nice food provide student hihg quality excelent quality uni aspect,happy course university study university edinburgh everyone top university lecture structured interesting seminar city full student student hall nice food student hihg quality excelent quality uni aspect,edinburgh
4.0,3.0,4.0,4.0,,,3.0,3.0,3.0,4.0,Student Reviewer,04 Apr 14,Neurobiology MPhil," Uni experience is alright, kinda gets boring after awhile but still cool. I guess it depends on the type of person but for me halls is Nt as fun since I don't like getting wasted every night. If you are coming to uni and halls you should make sure you are up to sacrifice some sleep, and work does Nt come easy with it. I wish I had better flatmates.",uni experience alright get bore awhile still cool guess depend type person halls nt fun n't like get waste night come uni hall make sure sacrifice sleep work nt come easy wish well flatmate,uni experience awhile cool type person nt fun night hall sure sleep work nt easy flatmate,edinburgh
4.0,4.0,4.0,4.0,,,3.0,4.0,4.0,,Student Reviewer,04 Apr 14,,"  Courses are challanging, it is the best place to be in Scotland. Lots of opportunity for exhchange programms. Many workshops around the university, it is great to experince many bits of the uni. Would recommend it to any student whose priority is the education. It is easy to get around Edinburgh, as the whole campus is in the city. ",course challanging best place scotland lot opportunity exhchange programms many workshops university great experince many bit uni recommend student priority education easy get edinburgh whole campus city,course best place scotland lot opportunity exhchange programms many university great many bit uni student priority education easy edinburgh whole campus city,edinburgh
4.0,4.0,4.0,4.0,,,4.0,3.0,4.0,4.0,Student Reviewer,04 Apr 14,, The uni is quite satisfactory. I wouldn't say it is the greatest university but it does stand up to it's name. This is my final year here and I am looking forward to going out in the real world and getting a real job. If you are coming to this university or going to university in general you should be completely sure you picked the right course. It is four years of your life so don't underestimate it.,uni quite satisfactory n't say great university stand 's name final year look forward go real world get real job come university go university general completely sure pick right course year life n't underestimate,uni satisfactory great university name final year forward real world real job university university general sure right course year life,edinburgh
5.0,5.0,4.0,5.0,,,4.0,5.0,4.0,5.0,Student Reviewer,04 Apr 14,International Relations and International Law MA (Hons), I enjoy my time here and the place where I'm staying.The course and the lectures are useful in general.You have to study in order to come here.,enjoy time place 'm staying.the course lecture useful general.you study order come,time place staying.the course lecture useful general.you order,edinburgh
4.0,5.0,4.0,4.0,,,4.0,4.0,4.0,5.0,Student Reviewer,04 Apr 14,International Relations and International Law MA (Hons)," I am really enjoying it. Great place, I would recomenned it to every student . I would tell students to get involved in societies, they are really passionate about because that is the best way tp make fantastic friends. International relations course is very interesting, worth taking it. ",really enjoy great place recomenned student tell student get involve society really passionate best way tp make fantastic friend international relation course interesting worth take,great place student student society passionate best way tp fantastic friend international relation course interesting worth,edinburgh
5.0,4.0,3.0,4.0,,,3.0,4.0,4.0,4.0,Student Reviewer,04 Apr 14,," This is a very nice place. Uni experience for me is amazing. There is so many pretty girls here, its just excellent. If you are coming to university get your game togeather and you won't miss out! ",nice place uni experience amaze many pretty girl excellent come university get game togeather n't miss,nice place uni experience many pretty girl excellent university game togeather,edinburgh
3.0,3.0,4.0,3.0,,,3.0,4.0,2.0,4.0,Student Reviewer,04 Apr 14,History and Politics MA (Hons)," Accomodation is poor. Lectures are average, Edinburgh is cold and away. I would Nt recomennd this uni whatsoever, but uni facilities are okay. ",accomodation poor lecture average edinburgh cold away nt recomennd uni whatsoever uni facility okay,accomodation poor lecture average edinburgh cold uni whatsoever uni facility okay,edinburgh
4.0,5.0,3.0,5.0,,,3.0,5.0,5.0,5.0,Student Reviewer,04 Apr 14,," Edinburgh uni has the best sport societies! Really loving the social part. Just come, it's awsome.",edinburgh best sport society really love social part come 's awsome,edinburgh best sport society social part come awsome,edinburgh
3.0,1.0,3.0,5.0,,,3.0,4.0,5.0,3.0,Student Reviewer,04 Apr 14,, Uni experience for me is great but I think Edinburgh Uni is a bit overrated. My course so far has Nt been meeting my expectations and I was honestly expecting a lot more from the social part of the Uni as well. I would say that you have to look in depth before you choose a Uni because some. like this one are really made to look better than they are.,uni experience great think edinburgh uni bit overrated course far nt meet expectation honestly expect lot social part uni well say look depth choose uni really make look good,uni experience great edinburgh uni bit overrated course nt expectation lot social part uni depth uni good,edinburgh
4.0,4.0,3.0,5.0,,,5.0,4.0,4.0,4.0,Student Reviewer,04 Apr 14,, The university is generally good compared to other universities but because myfriend's study in cambridgei is a lot more structured. Lectures are poor and a bit boring. The city I student friendly as in a lot of shops you can find student discounts.,university generally good compare university myfriend study cambridgei lot structured lecture poor bit boring city student friendly lot shop find student discount,university good university myfriend study cambridgei lot structured lecture poor bit boring city lot shop student discount,edinburgh
5.0,5.0,3.0,3.0,,,2.0,4.0,3.0,5.0,Student Reviewer,04 Apr 14,Mechanical Engineering with Renewable Energy BEng (Hons)," Love the societies here, never get boring here. Course could be better, but it is a great uni experience. City, Edinburgh could be better, but student hall is perfect to socialize and meet with other students. Pollock Halls is a must for every student. Accomodation is small but the cafeteria makes it up. Great jobs prospects, but it needs lots of preparations. ",love society never get bore course good great uni experience city edinburgh good student hall perfect socialize meet student pollock hall student accomodation small cafeteria make great job prospect need lot preparation,society course good great uni experience city edinburgh good student hall perfect student pollock hall student accomodation small cafeteria great job prospect lot preparation,edinburgh
4.0,3.0,3.0,4.0,,,3.0,5.0,4.0,4.0,Student Reviewer,04 Apr 14,Sociology and Politics MA (Hons), My advice is to work hard in order to get here.Edinburgh is a cool place for students who enjoy going out.Staying in the acoommodation is also preferable for the fisrt year.Yo have the chace to meet a lot of new friends.You won't regret it.,advice work hard order get here.edinburgh cool place student enjoy go out.staying acoommodation also preferable fisrt year.yo chace meet lot new friends.you n't regret,advice order here.edinburgh cool place student acoommodation preferable fisrt year.yo chace lot new friends.you,edinburgh
4.0,3.0,5.0,4.0,,,5.0,5.0,5.0,4.0,Student Reviewer,04 Apr 14,Philosophy and English Literature MA (Hons)," Courses are good and interesting. Seminars are engaging. Socially the university is really good, clubs and societies are plenty, and you can see them all around the Unibversity. Student Halls are very coinvinient to stay in. I would recommend the societies and the clubs to all students.I tis very important to get social around here. Get a bus pass and enjoy the city. Edinburgh has much to offer. ",course good interesting seminar engage socially university really good club society plenty see unibversity student hall coinvinient stay recommend society club students.i ti important get social get bus pas enjoy city edinburgh much offer,course good interesting seminar university good club society plenty unibversity student hall coinvinient society club students.i ti important social bus pas city edinburgh,edinburgh
4.0,3.0,4.0,4.0,,,3.0,3.0,4.0,5.0,Student Reviewer,04 Apr 14,," Many interesting people around. Met with many inew friends along the university. Many societies for every taste. Cafeteria is good, it is good to have cooked meal every time, and Nt worrying about the catering. Edinburgh city life is good, easy to get around. niversity campus is huge, easy to get around, as most of it is in the city center, just by walking distance. ",many interesting people met many inew friend university many society taste cafeteria good good cook meal time nt worry catering edinburgh city life good easy get around niversity campus huge easy get around city center walk distance,many interesting people met many inew friend university many society taste cafeteria good good meal time nt catering edinburgh city life good easy niversity campus huge easy city center distance,edinburgh
4.0,5.0,3.0,5.0,,,4.0,4.0,5.0,5.0,Student Reviewer,04 Apr 14,Veterinary Medicine BVMS," Its great. Enjoying my course, great uni experience so far. Amazing clubs, and many societies, that never lets you get bored. Get involvedd and study hard. ",great enjoy course great uni experience far amazing club many society never let get bore get involvedd study hard,great course great uni experience amazing club many society involvedd,edinburgh
4.0,4.0,3.0,4.0,,,4.0,4.0,5.0,2.0,Student Reviewer,04 Apr 14,International and European Politics MSc," A lot of lectures are bad, but still students are highly advised Nt to miss any. Going out sometimes, helps to socilize, but the clubs and societies are great fun. Course is fascinating, and it is a very interesting course to take, Eacoomodation is amazing. ",lot lecture bad still student highly advised nt miss go sometimes help socilize club society great fun course fascinating interesting course take eacoomodation amazing,lot lecture bad student advised nt club society great fun course fascinating interesting course eacoomodation amazing,edinburgh
4.0,4.0,4.0,5.0,,,4.0,5.0,5.0,5.0,Student Reviewer,04 Apr 14,," Good sport society around the uni. Students get involve many activities around the student hall. Campus is all around the city, it might be hard to get around for the first time, but Edinburgh is a fantastic city to study in. Get involved and make friends. University is a great opportunity, study hard and try the best to get into here. Great choice. ",good sport society uni student get involve many activity student hall campus city hard get first time edinburgh fantastic city study get involved make friend university great opportunity study hard try best get great choice,good sport society uni student many activity student hall campus city hard first time edinburgh fantastic city get involved friend university great opportunity hard best great choice,edinburgh
4.0,5.0,3.0,5.0,,,5.0,5.0,5.0,5.0,Student Reviewer,04 Apr 14,," It's great!!!I can't mention something I don't like here.The Uni gives me the chance to do my favourite things like playing sports, go out and communicate with so many great people that I met here.However, I was expecting my course to be more interesting.",'s great n't mention something n't like here.the uni give chance favourite thing play sport go communicate many great people meet here.however expect course interesting,great something here.the uni chance favourite thing sport many great people here.however course interesting,edinburgh
4.0,3.0,4.0,5.0,,,1.0,5.0,4.0,4.0,Student Reviewer,04 Apr 14,International and European Politics MSc, The lectures are intersting and I have to study a lot during the second semester.I like it how the Uni looks and the city is full of nice places.,lecture intersting study lot second semester.i uni look city full nice place,lecture lot second semester.i uni city full nice place,edinburgh
4.0,5.0,4.0,5.0,,,3.0,3.0,4.0,4.0,Student Reviewer,04 Apr 14,Pathway Medicine PhD," I am really happy with university, I believe the only thing I would like better would be a Nrmal flat, deffinetly better than halls. If you are coming to study a medical degree I think you would Nt be disappointed, besides the lectures and study part there are really good placements.",really happy university believe thing like good nrmal flat deffinetly good hall come study medical degree think nt disappoint lecture study part really good placement,happy university thing good nrmal flat good hall medical degree lecture part good placement,edinburgh
4.0,4.0,5.0,3.0,,,2.0,4.0,4.0,3.0,Student Reviewer,04 Apr 14,," The thirs year in my course has really sparked my interest. University is a lot of work but interesting, altho coupled with work could be overwhelming. Make sure you have the patience to go through uni before you sign up. And make sure to have a can do attitude.",thirs year course really spark interest university lot work interesting altho couple work overwhelm make sure patience go uni sign make sure attitude,thirs year course interest university lot work interesting work sure patience uni sure,edinburgh
5.0,4.0,4.0,4.0,,,4.0,5.0,5.0,5.0,Student Reviewer,04 Apr 14,Philosophy and Greek MA (Hons)," Edinburgh is great, And University of Edinburgh is brilliant. My course is fascinating, and combined with great clubs and societies it never gets boring here. There is always something to do, chat, socialize, hang out, have fun. Pollock Halls is a great place to spend the first year as a student here. Great to meet with new people and have a university life here. ",edinburgh great university edinburgh brilliant course fascinating combine great club society never get bore always something chat socialize fun pollock hall great place spend first year student great meet new people university life,edinburgh great university edinburgh brilliant course fascinating great club society something pollock hall great place first year student great new people university life,edinburgh
5.0,3.0,4.0,4.0,,,4.0,5.0,4.0,5.0,Student Reviewer,04 Apr 14,Mathematics MMath," This is my first year in the University of Edinburgh and so far it has been more than great fun! I have been enjoying the student life to the fulest and I am also very happy with my course! Overall I can say that I am proud to be a student of Edinburgh University, because I worked very hard to get here.",first year university edinburgh far great fun enjoy student life fulest also happy course overall say proud student edinburgh university work hard get,first year university edinburgh great fun student life fulest happy course overall proud student edinburgh university,edinburgh
4.0,4.0,4.0,4.0,,,5.0,4.0,4.0,4.0,Student Reviewer,04 Apr 14,," Get involved. There is so much going on around the University.The number of clubs and societies here is massive. You can Nt name a club which is Nt here in Uni of Edinburgh. Studnent Hall is very friendly, good to be around many students. Being a student here is great. ",get involve much go university.the number club society massive nt name club nt uni edinburgh studnent hall friendly good around many student student great,get much university.the number club society massive name club nt uni edinburgh studnent hall friendly good many student student great,edinburgh
4.0,3.0,4.0,5.0,,,3.0,4.0,3.0,3.0,Student Reviewer,04 Apr 14,Chemistry MChem (Hons), This uni is really great. I am enjoying a lot if international contacts as well as really good course facilities where I can practice. There is also many other greek people so if I feel homesick there is always someone to share with. I would deffinetly reccomend edinburgh university it really stands up to its name and is a lot of great fun. ,uni really great enjoy lot international contact well really good course facility practice also many greek people feel homesick always someone share deffinetly reccomend edinburgh university really stand name lot great fun,uni great lot international contact good course facility practice many greek people someone share edinburgh university name lot great fun,edinburgh
5.0,4.0,4.0,4.0,,,4.0,5.0,5.0,5.0,Student Reviewer,04 Apr 14,, very attractive learning opportunities; good placement programes; nice town to live in; If you are thinking about studying in uni make sure you are up to the task so you don’t waste precious time doing something you don't like and try to excell at whatever you take up,attractive learning opportunity good placement programes nice town live think study uni make sure task ’ waste precious time something n't like try excell take,attractive learning opportunity good placement programes nice town uni sure task ’ waste precious time something,edinburgh
4.0,5.0,4.0,4.0,,,3.0,5.0,3.0,4.0,Student Reviewer,04 Apr 14,Spanish and Linguistics MA (Hons)," I think the uni of Edinburgh has great accomodation. Especially because of the sport hall, the gym and we also have a good cafeteria so close by. The standards are excellent. I am also finding my course really interesting. If you are coming to uni deffinetly go in halls for your first year, It's the best!",think uni edinburgh great accomodation especially sport hall gym also good cafeteria close standard excellent also find course really interesting come uni deffinetly go hall first year 's best,uni edinburgh great accomodation sport hall gym good cafeteria standard excellent course interesting hall first year best,edinburgh
3.0,5.0,4.0,3.0,,,3.0,4.0,4.0,5.0,Student Reviewer,04 Apr 14,," I am an exchange student here in the University of Edinburgh. It is a great place to study. The societies and the clubs are outstanding. Very easy to join any of them. Sport is a big thing here In Edinburgh, and it offers a great variety of different sports. It is a great place for exchange. ",exchange student university edinburgh great place study society club outstanding easy join sport big thing edinburgh offer great variety different sport great place exchange,exchange student university edinburgh great place society club outstanding easy sport big thing edinburgh great variety different sport great place exchange,edinburgh
4.0,2.0,5.0,3.0,,,3.0,4.0,5.0,4.0,Student Reviewer,04 Apr 14,Business Studies and Law MA (Hons)," Oportunities for sports and other societies are great. Very good uni experience overall. Business Studies course and lectures are good, along with Edinburgh. ",oportunities sport society great good uni experience overall business study course lecture good edinburgh,oportunities sport society great good uni experience overall business study course lecture good edinburgh,edinburgh
5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,Student Reviewer,04 Apr 14,English Language and Literature MA (Hons), I am enjoying my uni experience. I would suggest to students to make sure to sleep well and study hard if they come to the Univbersity of Edinburgh. ,enjoy uni experience suggest student make sure sleep well study hard come univbersity edinburgh,uni experience student sure hard univbersity edinburgh,edinburgh
4.0,4.0,4.0,4.0,,,3.0,4.0,5.0,3.0,Student Reviewer,04 Apr 14,Law and Social Policy LLB (Hons), My course is a bit challenging and requires a fairly big amount of hours studying but I enjoy it because time passes with a great course. Also we party a lot in the flats and the food that we have free access is just very tasty and we canhave a good eat.,course bit challenging require fairly big amount hour study enjoy time pass great course also party lot flat food free access tasty canhave good eat,course bit challenging big amount hour time pass great course party lot flat food free access tasty good eat,edinburgh
4.0,5.0,4.0,3.0,,,4.0,3.0,4.0,4.0,Student Reviewer,04 Apr 14,History and Politics MA (Hons), In comparrison to college I dare say tha uni is much better. I like that most of the people are matture but living on campus I am experiencing the other part of the students. It's like they never shut up. There is always a party going on and it is kind of getting anNying. However I did manage to find my best friend here so Its Nt all bad! I recommend this uni to anyone who wishes to study in a good town!,comparrison college dare say tha uni much well like people matture live campus experience part student 's never shut always party go kind get annying however manage find best friend nt bad recommend uni anyone wish study good town,comparrison college tha uni people matture campus part student party kind best friend nt bad uni anyone good town,edinburgh
3.0,3.0,4.0,2.0,,,2.0,5.0,4.0,2.0,Student Reviewer,04 Apr 14,Neurobiology MPhil, I'm an exchange student so I spent most of my time in the city.It's good that the halls are near the center and the food here is very good.If you want to study here you have to be more advantures and motivated in order to succed.,'m exchange student spend time city.it good hall center food good.if want study advantures motivate order succed,exchange student time city.it good hall center food good.if advantures order,edinburgh
3.0,4.0,2.0,5.0,,,5.0,4.0,5.0,5.0,Student Reviewer,04 Apr 14,," I am enjoying uni. Nt so much enjoying my course. The lectures for business are horrible, and I don't feel like I'm learning much. However, I love the city and the people I've met, along with my societies. Overall, really good,I like it here!",enjoy uni nt much enjoy course lecture business horrible n't feel 'm learn much however love city people 've meet society overall really good like,uni nt course lecture business horrible city people society overall good,edinburgh
4.0,4.0,3.0,4.0,,,3.0,5.0,5.0,4.0,Student Reviewer,04 Apr 14,Physics and Music BSc (Hons), I should say that I didn't expect my time here to be that awesome! I love Edinburg and its history.I really enjoyed my time spent in the accomodation as the condition are perfect and the food that the University provides is very tasty and is for free.,say n't expect time awesome love edinburg history.i really enjoy time spend accomodation condition perfect food university provide tasty free,time awesome edinburg history.i time accomodation condition perfect food university tasty free,edinburgh
4.0,4.0,4.0,4.0,,,3.0,4.0,3.0,4.0,Student Reviewer,04 Apr 14,Landscape Architecture BA (Hons)," This is a good university and I think this is a great opportunity for me to study here. Uni is great I have met so many people from all over europe and I like it. University is great, just go for it I think eveyone will really enjoy uni experience.",good university think great opportunity study uni great meet many people europe like university great go think eveyone really enjoy uni experience,good university great opportunity uni great many people europe university great uni experience,edinburgh
5.0,3.0,2.0,5.0,,,4.0,4.0,4.0,5.0,Student Reviewer,04 Apr 14,Chinese and History MA (Hons)," University of edinburgh offers a very good job perpects in the future. My clubs and societies fits with my studies, by joing Chinese societies it can enhance my Chines level, and studies. Accomodation is good, as you are staying in the middle of the action all the time. University is good, however I would Nt recommend my course as it is lots of effort and hard work. ",university edinburgh offer good job perpects future club society fit study joing chinese society enhance chine level study accomodation good stay middle action time university good however nt recommend course lot effort hard work,university edinburgh offer good job perpects future club society study chinese society chine level study accomodation good middle action time university good course lot effort hard work,edinburgh
5.0,5.0,5.0,4.0,,,5.0,5.0,4.0,5.0,Student Reviewer,04 Apr 14,Law and French LLB (Hons), University of Edinburgh is the place where you can show your personality.It gives you the chance to stand out of the crowd and express your ideas.Be confident and prove that you are the best for this place.,university edinburgh place show personality.it give chance stand crowd express ideas.be confident prove best place,university edinburgh place personality.it chance crowd ideas.be confident best place,edinburgh
4.0,4.0,4.0,4.0,,,3.0,4.0,5.0,4.0,Student Reviewer,04 Apr 14,Geography and Social Anthropology MA (Hons)," Think university is quite cool, I do miss my family , especially my little sister. It is good to have family around always, but I am glad I have found nice friends here. If you are coming from aNther town or country you should always keep in mind that you might miss home. But it is deffinetly worth it, becoming more independent. ",think university quite cool miss family especially little sister good family always glad find nice friend come anther town country always keep mind miss home deffinetly worth become independent,think university cool family little sister good family glad nice friend anther town country mind home worth independent,edinburgh
4.0,5.0,4.0,4.0,,,4.0,5.0,4.0,5.0,Student Reviewer,04 Apr 14,," Edinburgh is a fantastic in every respect-city, uni, people you name it! The number of societies here is insane and you are really missing out if you don't join at least one. Lectures are very interesting and generally very good. Pollock Halls is good, nice to have cooked breakfast every morning!! Advice: Get involved with everything, you can't do too much!!",edinburgh fantastic respect-city uni people name number society insane really miss n't join least lecture interesting generally good pollock hall good nice cook breakfast morning advice get involve everything n't much,edinburgh fantastic respect-city uni people number society insane least lecture interesting good pollock hall good nice breakfast morning advice get everything much,edinburgh
5.0,5.0,5.0,5.0,,,5.0,5.0,4.0,5.0,Student Reviewer,04 Apr 14,Business Studies and Law MA (Hons), I feel like doing a lot of great things this year and everything seems to be interesting for me.People should be hard working and enthusiastic if they want to be a part of this Uni,feel lot great thing year everything seem interest me.people hard work enthusiastic want part uni,lot great thing year everything me.people hard enthusiastic part uni,edinburgh
4.0,3.0,3.0,5.0,,,3.0,4.0,4.0,5.0,Student Reviewer,04 Apr 14,French and Politics MA (Hons), I enjoy the city life and Edinburgh is the best place to be a student. On the other hand the university is Nt as good as I thought it would be. The uni facilities are very good and I really like the huge swimming pool.,enjoy city life edinburgh best place student hand university nt good think uni facility good really huge swimming pool,city life edinburgh best place student hand university nt good uni facility good huge swimming pool,edinburgh
